channelname,mediapackageid
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! ПРЕМЬЕР ,9855006845674818
ПРОДВИЖЕНИЕ ,16891881263472710
СИНЕРГИЯ ТВ ,20551055960727304
AMEDIA PREMIUM HD ,8166156985402498
ПСИХОЛОГИЯ21 ,37721029540151555
МАЯК ,36314751524986368
ЗДОРОВОЕ ТВ ,11262381729234752
ЛДПР ТВ ,35469229726456391
БОБЁР ,3662557358009926
Ю ,12951231589506432
FASHION ONE ,11262381729234755
ЖИВИ ,49824453538761730
ТБН ,18017781170320640
САРАФАН ,50668878468897664
НАНО ТВ ,33217429912761217
ДИКИЙ ,48135603678490952
НОСТАЛЬГИЯ ,15203031403201921
НАШЕ ТВ ,49261503585338119
МОЯ ПЛАНЕТА ,29276780238795332
ТИПА ОЧЕНЬ СМЕШНО ,30121205168930817
ZOOПАРК ,32091530005914176
ЕВРОКИНО ,37439554563439810
ЕВРОНОВОСТИ ,20551055960727298
КАРУСЕЛЬ ,51794778375744835
АВТО24 ,54609528142863300
DISCOVERY SCIENCE ,16891881263472705
ФУТБОЛЬЧИК МАЛЬЧИКИ ПОХОЖИ НА КАЧКОВ! ИГРА ,36876604610016322
ЛЯ МИНОР. МОЙ МУЗЫКАЛЬНЫЙ ,32091530005914179
RTД ,284857637463809
PLAYBOY TV ,38002504516863301
О2ТВ ,18299256147032453
ЧЕ ,20832530937439107
ЭКСТРАСЕНСЫ ,21676955867574474
BRIDGE TV CLASSIC ,36313654656592196
ДРАЙВ ,28150880331948099
ОХОТА И РЫБАЛКА ,43913479027813248
НАУКА ,19706631030591877
РУССКИЙ ИЛЛЮЗИОН ,44194954004524992
GULLI GIRL ,8447631962114884
SONY CHANNEL ,7884682008690562
МИР ,3381082381297926
МУЗЫКА ПЕРВОГО ,36313654656592128
КАНАЛ ПРО МЕНТОВ ,14358606473065991
МОСКВА-24  ,20269580984015492
DTX ,41943154190829250
ВМЕСТЕ РФ ,20269580984015499
NICKELODEON ,42787579120964864
ВРЕМЯ ,38002504516863297
RUSSIAN EXTREME ,30684155122354880
PARAMOUNT CHANNEL HD ,53202153259303681
MCM TOP ,33780379866185600
ТИПА СМЕШНО И СЕМЕЙНО ,51231828422321282
TV 1000 ACTION ,35187754749744513
ЧТО-ТО КРОМЕ МИСС МАРПЛ? ,15765981356625600
ПЕРВЫЙ ВЕГЕТАРИАНСКИЙ ,13795656519642178
365 ДНЕЙ ТВ ,29839730192218944
VH1 EUROPEAN ,54328053166151491
МИР СЕРИАЛА ,53765103212727179
EUROPA PLUS TV ,30121205168930759
ОХОТНИК И РЫБОЛОВ ,31247105075778499
